District,Building Type,Rooms,Area,Floor,Renovation,Price
Մալաթիա Սեբաստիա,Պանելային,2,35,13,Կապիտալ,59000.0
Քանաքեռ Զեյթուն,Պանելային,1,33,2,Պետական վիճակ,46000.0
Մալաթիա Սեբաստիա,Պանելային,1,42,6,Պետական վիճակ,71000.0
Նոր Նորք,Քարե,3,57,4,Կապիտալ,92000.0
Արաբկիր,Մոնոլիտ,3,75,3,Կապիտալ,210000.0
Կենտրոն,Քարե,2,90,4,Կապիտալ,270000.0
Քանաքեռ Զեյթուն,Պանելային,3,93,8,Կապիտալ,165000.0
Արաբկիր,Քարե,3,45,5,Դիզայներական,93000.0
Արաբկիր,Պանելային,3,70,8,Դիզայներական,145000.0
Նոր Նորք,Քարե,3,65,5,Կապիտալ,82000.0
Արաբկիր,Պանելային,3,60,3,Դիզայներական,140000.0
Կենտրոն,Պանելային,2,40,8,Կոսմետիկ,80000.0
Կենտրոն,Այլ,3,85,1,Կապիտալ,220000.0
Նոր Նորք,Պանելային,3,74,9,Կապիտալ,120000.0
Կենտրոն,Պանելային,2,69,7,Դիզայներական,185000.0
Նոր Նորք,Պանելային,1,40,2,Պետական վիճակ,53000.0
Նոր Նորք,Պանելային,2,30,1,Դիզայներական,57000.0
Նոր Նորք,Քարե,3,79,5,Պետական վիճակ,95000.0
Արաբկիր,Քարե,1,48,3,Պետական վիճակ,94000.0
Արաբկիր,Քարե,2,70,2,Կապիտալ,150000.0
Արաբկիր,Քարե,3,90,6,Կապիտալ,258000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",2,53,7,Կապիտալ,225000.0
Կենտրոն,Պանելային,3,50,3,Կապիտալ,135000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",2,65,14,Դիզայներական,133000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",2,51,6,Դիզայներական,230000.0
Նոր Նորք,Քարե,1,43,1,Կոսմետիկ,58000.0
Նոր Նորք,"Մոնոլիտ, Նորակառույց",2,46,6,Դիզայներական,99000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,65,5,Կապիտալ,150000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",3,68,9,Կապիտալ,215000.0
Դավթաշեն,Պանելային,3,74,7,Կապիտալ,137000.0
Աջափնյակ,Պանելային,3,80,4,Կապիտալ,105000.0
Դավթաշեն,Պանելային,3,78,3,Կոսմետիկ,115000.0
Նոր Նորք,Պանելային,4,74,5,Կապիտալ,87000.0
Նոր Նորք,"Մոնոլիտ, Նորակառույց",2,74,3,Դիզայներական,170000.0
Նոր Նորք,Պանելային,3,64,5,Նորմալ վիճակ,75000.0
Կենտրոն,Պանելային,1,49,13,Կապիտալ,83300.0
Արաբկիր,Պանելային,3,72,6,Կապիտալ,135000.0
Քանաքեռ Զեյթուն,Քարե,3,78,2,Դիզայներական,110000.0
Նոր Նորք,Քարե,4,65,3,Կապիտալ,74000.0
Էրեբունի,Պանելային,4,80,1,Պետական վիճակ,67000.0
Էրեբունի,Քարե,3,78,1,Պետական վիճակ,95000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",3,65,12,Դիզայներական,185000.0
Նոր Նորք,Քարե,3,80,5,Զրոյական վիճակ,76230.0
Կենտրոն,Պանելային,1,40,6,Պետական վիճակ,83000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",1,50,3,Դիզայներական,120000.0
Նոր Նորք,Պանելային,3,63,4,Նորմալ վիճակ,86000.0
Նոր Նորք,"Մոնոլիտ, Նորակառույց",2,53,1,Զրոյական վիճակ,77000.0
Արաբկիր,Քարե,3,70,5,Կապիտալ,128000.0
Արաբկիր,Պանելային,4,90,13,Կապիտալ,173000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",2,65,15,Կապիտալ,225000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,73,4,Կապիտալ,245000.0
Արաբկիր,Պանելային,4,82,10,Կապիտալ,165000.0
Արաբկիր,Պանելային,3,74,4,Դիզայներական,170000.0
Արաբկիր,Պանելային,3,88,6,Դիզայներական,180000.0
Արաբկիր,Քարե,1,36,4,Նորմալ վիճակ,108000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",2,68,7,Զրոյական վիճակ,157500.0
Դավթաշեն,Պանելային,2,67,3,Կապիտալ,107000.0
Կենտրոն,Քարե,2,30,2,Կապիտալ,115000.0
Աջափնյակ,Պանելային,3,98,12,Նորմալ վիճակ,95000.0
Նոր Նորք,Քարե,3,68,1,Կոսմետիկ,85000.0
Քանաքեռ Զեյթուն,Պանելային,2,35,4,Կապիտալ,74000.0
Արաբկիր,Քարե,1,35,1,Դիզայներական,125000.0
Արաբկիր,Պանելային,2,46,4,Դիզայներական,122000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",2,57,14,Զրոյական վիճակ,78000.0
Արաբկիր,Պանելային,3,84,13,Նորմալ վիճակ,110000.0
Արաբկիր,Քարե,2,65,9,Պետական վիճակ,90000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",4,95,9,Դիզայներական,250000.0
Նոր Նորք,"Մոնոլիտ, Նորակառույց",2,55,2,Դիզայներական,150000.0
Քանաքեռ Զեյթուն,Մոնոլիտ,3,97,7,Զրոյական վիճակ,142000.0
Նոր Նորք,Պանելային,3,73,7,Նորմալ վիճակ,85000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",3,66,3,Կապիտալ,180000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",2,56,13,Դիզայներական,139000.0
Կենտրոն,Պանելային,1,42,12,Կապիտալ,88000.0
Մալաթիա Սեբաստիա,Պանելային,1,50,3,Կապիտալ,71000.0
Արաբկիր,Քարե,3,95,5,Կապիտալ,185000.0
Արաբկիր,Պանելային,3,75,3,Կապիտալ,165000.0
Արաբկիր,Պանելային,3,86,8,Նորմալ վիճակ,135000.0
Արաբկիր,Քարե,2,58,1,Կոսմետիկ,90000.0
Արաբկիր,Քարե,3,80,2,Դիզայներական,188000.0
Նոր Նորք,Պանելային,1,37,2,Կոսմետիկ,57000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",2,70,13,Դիզայներական,242000.0
Շենգավիթ,Քարե,2,45,2,Նորմալ վիճակ,72000.0
Դավթաշեն,Պանելային,2,54,4,Կապիտալ,80000.0
Դավթաշեն,Պանելային,3,74,8,Կապիտալ,118000.0
Քանաքեռ Զեյթուն,Պանելային,3,83,10,Դիզայներական,135000.0
Արաբկիր,Քարե,3,103,2,Կապիտալ,175000.0
Կենտրոն,Քարե,3,74,5,Դիզայներական,195000.0
Արաբկիր,Քարե,3,52,2,Կապիտալ,120000.0
Կենտրոն,Քարե,3,85,4,Կապիտալ,260000.0
Մալաթիա Սեբաստիա,Պանելային,3,68,10,Կոսմետիկ,92000.0
Արաբկիր,Քարե,2,62,4,Դիզայներական,130000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",1,47,10,Կապիտալ,82000.0
Կենտրոն,Պանելային,3,105,11,Կապիտալ,260000.0
Կենտրոն,Քարե,3,67,3,Դիզայներական,229000.0
Կենտրոն,Պանելային,2,50,2,Կապիտալ,107000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",2,60,7,Դիզայներական,139000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",3,77,3,Նորմալ վիճակ,129000.0
Նոր Նորք,Պանելային,3,64,4,Կոսմետիկ,78000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",2,58,3,Կապիտալ,138000.0
Դավթաշեն,"Պանելային, Նորակառույց",4,120,9,Կապիտալ,165000.0
Կենտրոն,Մոնոլիտ,2,54,9,Կապիտալ,198000.0
Նորք Մարաշ,"Մոնոլիտ, Նորակառույց",3,51,1,Կապիտալ,97000.0
Մալաթիա Սեբաստիա,Պանելային,1,48,3,Նորմալ վիճակ,59000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",3,58,3,Դիզայներական,129000.0
Արաբկիր,Քարե,3,72,2,Դիզայներական,153000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",3,117,5,Դիզայներական,235000.0
Արաբկիր,Քարե,2,52,2,Դիզայներական,120000.0
Աջափնյակ,Քարե,2,48,2,Նորմալ վիճակ,62999.0
Մալաթիա Սեբաստիա,"Մոնոլիտ, Նորակառույց",1,47,4,Կապիտալ,75000.0
Կենտրոն,Քարե,2,52,3,Դիզայներական,240000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",2,55,4,Կապիտալ,135000.0
Աջափնյակ,Քարե,2,60,1,Կապիտալ,82527.0
Ավան,Քարե,2,58,2,Կապիտալ,77000.0
Նոր Նորք,Կասետային,2,50,2,Նորմալ վիճակ,67000.0
Շենգավիթ,"Պանելային, Նորակառույց",2,50,5,Կապիտալ,78000.0
Շենգավիթ,Պանելային,3,89,3,Կապիտալ,120000.0
Նոր Նորք,"Մոնոլիտ, Նորակառույց",3,80,2,Զրոյական վիճակ,125000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",3,110,14,Կապիտալ,215000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",2,37,4,Դիզայներական,107000.0
Կենտրոն,Պանելային,3,80,3,Կապիտալ,182000.0
Աջափնյակ,Պանելային,1,23,5,Կապիտալ,46000.0
Նոր Նորք,Պանելային,3,96,7,Նորմալ վիճակ,92000.0
Կենտրոն,Պանելային,1,43,5,Կապիտալ,127000.0
Մալաթիա Սեբաստիա,Պանելային,2,48,9,Կոսմետիկ,62000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",1,30,2,Դիզայներական,82000.0
Մալաթիա Սեբաստիա,Քարե,2,78,2,Կապիտալ,120000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",3,65,6,Կապիտալ,146000.0
Աջափնյակ,Մոնոլիտ,2,41,9,Կապիտալ,69000.0
Էրեբունի,Քարե,3,75,2,Կապիտալ,120000.0
Արաբկիր,Քարե,2,58,1,Նորմալ վիճակ,90000.0
Աջափնյակ,Պանելային,3,80,4,Դիզայներական,106000.0
Աջափնյակ,Քարե,3,72,5,Կապիտալ,103000.0
Կենտրոն,Պանելային,2,56,8,Կոսմետիկ,102000.0
Կենտրոն,Պանելային,2,80,1,Կապիտալ,136000.0
Դավթաշեն,Պանելային,2,36,11,Կապիտալ,72000.0
Քանաքեռ Զեյթուն,Քարե,3,84,5,Դիզայներական,128000.0
Արաբկիր,Քարե,4,95,3,Պետական վիճակ,140000.0
Կենտրոն,Պանելային,3,98,8,Կապիտալ,163500.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",1,43,2,Նորմալ վիճակ,78000.0
Արաբկիր,Քարե,2,57,3,Կոսմետիկ,105000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",3,75,11,Կապիտալ,109000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,96,7,Զրոյական վիճակ,180529.0
Դավթաշեն,Պանելային,3,82,5,Կապիտալ,105000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",3,74,14,Դիզայներական,175000.0
Դավթաշեն,Պանելային,3,85,5,Կապիտալ,105000.0
Շենգավիթ,Պանելային,3,72,3,Կապիտալ,90000.0
Դավթաշեն,Պանելային,3,65,6,Կապիտալ,106000.0
Արաբկիր,Պանելային,2,64,7,Նորմալ վիճակ,105000.0
Կենտրոն,Պանելային,2,40,8,Կոսմետիկ,76000.0
Արաբկիր,Քարե,4,100,3,Նորմալ վիճակ,140000.0
Աջափնյակ,Քարե,3,62,2,Կապիտալ,230000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,80,5,Դիզայներական,179000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",4,125,9,Կապիտալ,235000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",3,65,6,Դիզայներական,146000.0
Քանաքեռ Զեյթուն,Պանելային,3,100,10,Նորմալ վիճակ,125000.0
Կենտրոն,Քարե,2,51,6,Կապիտալ,153000.0
Աջափնյակ,Պանելային,3,86,8,Կոսմետիկ,94000.0
Աջափնյակ,Պանելային,4,85,3,Կապիտալ,92000.0
Կենտրոն,Քարե,3,51,6,Դիզայներական,153000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",2,56,13,Կապիտալ,139000.0
Էրեբունի,Քարե,5,100,1,Դիզայներական,140000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",3,63,2,Կապիտալ,135000.0
Մալաթիա Սեբաստիա,Քարե,2,45,3,Կապիտալ,80000.0
Մալաթիա Սեբաստիա,Մոնոլիտ,3,83,7,Կապիտալ,133000.0
Արաբկիր,Քարե,2,50,5,Դիզայներական,100000.0
Մալաթիա Սեբաստիա,Պանելային,2,50,1,Կապիտալ,78000.0
Արաբկիր,Քարե,3,90,4,Դիզայներական,255000.0
Աջափնյակ,Պանելային,2,60,13,Նորմալ վիճակ,71500.0
Կենտրոն,Քարե,3,76,1,Կապիտալ,120000.0
Քանաքեռ Զեյթուն,Պանելային,2,51,2,Կապիտալ,70000.0
Նոր Նորք,Պանելային,2,78,5,Կապիտալ,80000.0
Քանաքեռ Զեյթուն,Պանելային,1,32,2,Նորմալ վիճակ,48000.0
Շենգավիթ,Քարե,3,57,3,Նորմալ վիճակ,87000.0
Էրեբունի,Պանելային,4,88,3,Նորմալ վիճակ,87000.0
Էրեբունի,Պանելային,3,79,5,Նորմալ վիճակ,82000.0
Շենգավիթ,Քարե,2,57,2,Պետական վիճակ,37000.0
Արաբկիր,Քարե,3,99,4,Կապիտալ,155000.0
Աջափնյակ,Պանելային,2,62,15,Կապիտալ,87000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",2,70,8,Զրոյական վիճակ,95000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",2,61,5,Դիզայներական,177000.0
Նոր Նորք,Քարե,3,65,3,Կապիտալ,105000.0
Կենտրոն,Քարե,2,65,3,Դիզայներական,240000.0
Դավթաշեն,Պանելային,3,78,13,Կապիտալ,120000.0
Կենտրոն,Պանելային,2,69,7,Կապիտալ,185000.0
Մալաթիա Սեբաստիա,Պանելային,3,70,2,Պետական վիճակ,82000.0
Արաբկիր,Պանելային,2,43,6,Նորմալ վիճակ,95000.0
Կենտրոն,Պանելային,2,40,8,Նորմալ վիճակ,80000.0
Արաբկիր,Պանելային,2,75,12,Նորմալ վիճակ,120000.0
Արաբկիր,Քարե,3,85,4,Կապիտալ,165000.0
Կենտրոն,Քարե,2,40,2,Կապիտալ,155000.0
Շենգավիթ,Քարե,2,45,4,Կապիտալ,117000.0
Արաբկիր,Պանելային,2,49,4,Կապիտալ,93000.0
Նոր Նորք,"Մոնոլիտ, Նորակառույց",3,75,3,Դիզայներական,144000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",3,74,18,Դիզայներական,190000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",2,61,4,Կոսմետիկ,87000.0
Աջափնյակ,Պանելային,3,83,2,Կոսմետիկ,96000.0
Արաբկիր,Քարե,3,70,4,Կապիտալ,132000.0
Դավթաշեն,Պանելային,4,94,9,Կապիտալ,135000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,83,2,Կապիտալ,175000.0
Կենտրոն,Քարե,1,36,3,Դիզայներական,125000.0
Արաբկիր,Պանելային,3,94,7,Նորմալ վիճակ,142000.0
Նոր Նորք,Քարե,3,78,4,Կոսմետիկ,102000.0
Արաբկիր,Քարե,2,73,2,Պետական վիճակ,172000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",2,61,2,Զրոյական վիճակ,116000.0
Արաբկիր,Քարե,3,82,4,Նորմալ վիճակ,155000.0
Քանաքեռ Զեյթուն,Պանելային,2,67,5,Պետական վիճակ,95000.0
Աջափնյակ,Պանելային,4,91,13,Պետական վիճակ,90000.0
Մալաթիա Սեբաստիա,"Մոնոլիտ, Նորակառույց",3,100,16,Դիզայներական,259000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",2,74,18,Զրոյական վիճակ,130000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",1,41,2,Կապիտալ,78000.0
Նոր Նորք,Պանելային,1,34,3,Դիզայներական,63000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",2,45,4,Դիզայներական,120000.0
Աջափնյակ,Պանելային,2,58,1,Պետական վիճակ,90000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,83,10,Զրոյական վիճակ,230000.0
Արաբկիր,Պանելային,3,75,12,Նորմալ վիճակ,120000.0
Կենտրոն,Պանելային,2,74,2,Պետական վիճակ,194000.0
Կենտրոն,Պանելային,2,61,6,Դիզայներական,175000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",4,96,3,Դիզայներական,240000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",2,55,12,Դիզայներական,184000.0
Շենգավիթ,Պանելային,2,54,1,Կապիտալ,75000.0
Կենտրոն,Պանելային,3,80,7,Կոսմետիկ,205000.0
Շենգավիթ,Քարե,2,43,1,Կապիտալ,64000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,62,2,Դիզայներական,190000.0
Շենգավիթ,Քարե,2,57,4,Պետական վիճակ,64000.0
Ավան,"Մոնոլիտ, Նորակառույց",2,51,2,Կապիտալ,85000.0
Կենտրոն,Քարե,3,81,3,Դիզայներական,270000.0
Մալաթիա Սեբաստիա,Քարե,3,57,3,Կապիտալ,93000.0
Արաբկիր,Քարե,2,70,2,Նորմալ վիճակ,155000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",4,96,3,Կապիտալ,245000.0
Աջափնյակ,Քարե,2,60,4,Կապիտալ,85000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",2,64,16,Դիզայներական,185000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",3,78,6,Զրոյական վիճակ,160000.0
Արաբկիր,Քարե,2,73,4,Նորմալ վիճակ,135000.0
Աջափնյակ,Պանելային,3,57,3,Կապիտալ,85000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",2,52,15,Զրոյական վիճակ,95000.0
Արաբկիր,Քարե,2,54,2,Նորմալ վիճակ,102000.0
Շենգավիթ,Պանելային,1,40,5,Կապիտալ,70000.0
Շենգավիթ,Քարե,2,45,5,Կապիտալ,75000.0
Արաբկիր,Քարե,3,110,3,Դիզայներական,250000.0
Մալաթիա Սեբաստիա,Մոնոլիտ,3,101,16,Կապիտալ,190000.0
Նոր Նորք,Պանելային,4,71,12,Կապիտալ,80000.0
Մալաթիա Սեբաստիա,Պանելային,2,51,5,Կոսմետիկ,76000.0
Արաբկիր,Պանելային,4,129,13,Կապիտալ,170000.0
Մալաթիա Սեբաստիա,Քարե,5,115,1,Կապիտալ,125000.0
Ավան,Պանելային,3,80,6,Կապիտալ,95000.0
Շենգավիթ,Մոնոլիտ,2,56,2,Կապիտալ,90000.0
Արաբկիր,Քարե,2,50,5,Կապիտալ,98000.0
Կենտրոն,Քարե,3,69,2,Դիզայներական,195000.0
Արաբկիր,Քարե,2,64,2,Կոսմետիկ,110000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",2,47,10,Դիզայներական,83500.0
Կենտրոն,Պանելային,2,70,3,Դիզայներական,230000.0
Կենտրոն,Պանելային,2,60,9,Նորմալ վիճակ,94000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",3,94,10,Կապիտալ,257000.0
Արաբկիր,Քարե,2,88,5,Նորմալ վիճակ,160000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",2,45,4,Կապիտալ,120000.0
Արաբկիր,Քարե,2,35,2,Դիզայներական,125000.0
Նոր Նորք,Քարե,3,75,4,Պետական վիճակ,90000.0
Նոր Նորք,Կասետային,1,37,2,Նորմալ վիճակ,65500.0
Մալաթիա Սեբաստիա,Պանելային,3,80,2,Կապիտալ,125000.0
Նոր Նորք,"Մոնոլիտ, Նորակառույց",2,54,3,Կապիտալ,90000.0
Կենտրոն,Պանելային,2,49,13,Կապիտալ,84000.0
Արաբկիր,Մոնոլիտ,2,60,2,Դիզայներական,148000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,62,2,Կապիտալ,190000.0
Արաբկիր,Քարե,3,67,1,Դիզայներական,125000.0
Ավան,Պանելային,2,62,9,Կոսմետիկ,85000.0
Կենտրոն,Մոնոլիտ,3,80,7,Նորմալ վիճակ,205000.0
Ավան,Քարե,1,41,3,Կոսմետիկ,63000.0
Շենգավիթ,Քարե,2,40,2,Կոսմետիկ,40000.0
Արաբկիր,Քարե,3,74,5,Նորմալ վիճակ,180000.0
Արաբկիր,Քարե,1,44,5,Պետական վիճակ,95000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,59,4,Դիզայներական,155000.0
Արաբկիր,Քարե,3,74,5,Կապիտալ,180000.0
Կենտրոն,Պանելային,2,73,9,Կապիտալ,222000.0
Ավան,"Մոնոլիտ, Նորակառույց",2,33,1,Դիզայներական,61000.0
Աջափնյակ,Պանելային,3,79,15,Կապիտալ,110000.0
Մալաթիա Սեբաստիա,Պանելային,3,80,1,Կապիտալ,92843.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",3,115,5,Դիզայներական,220000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",2,58,7,Կապիտալ,97000.0
Կենտրոն,Պանելային,2,43,9,Կապիտալ,75000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,85,2,Դիզայներական,211000.0
Արաբկիր,Մոնոլիտ,3,88,2,Դիզայներական,185000.0
Նոր Նորք,Պանելային,2,35,3,Կապիտալ,63000.0
Կենտրոն,Պանելային,2,67,6,Կապիտալ,125000.0
Կենտրոն,Պանելային,3,80,8,Դիզայներական,185000.0
Կենտրոն,Քարե,1,31,3,Կապիտալ,110000.0
Աջափնյակ,Քարե,4,70,2,Կոսմետիկ,92000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",2,83,3,Կապիտալ,160000.0
Դավթաշեն,"Պանելային, Նորակառույց",3,74,18,Կապիտալ,190000.0
Նոր Նորք,Պանելային,2,71,2,Կապիտալ,75000.0
Նոր Նորք,Պանելային,2,54,4,Կապիտալ,75000.0
Աջափնյակ,"Պանելային, Նորակառույց",3,70,12,Կապիտալ,90000.0
Մալաթիա Սեբաստիա,Պանելային,2,50,6,Կապիտալ,73000.0
Արաբկիր,Քարե,1,43,4,Կոսմետիկ,80000.0
Քանաքեռ Զեյթուն,Պանելային,2,70,3,Նորմալ վիճակ,80000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",2,60,2,Կապիտալ,148000.0
Արաբկիր,Պանելային,3,82,3,Կապիտալ,170000.0
Արաբկիր,Քարե,2,48,7,Նորմալ վիճակ,109000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",2,64,1,Կապիտալ,97000.0
Արաբկիր,Քարե,3,78,7,Դիզայներական,142000.0
Աջափնյակ,Պանելային,3,64,3,Կապիտալ,92000.0
Կենտրոն,Պանելային,1,43,3,Պետական վիճակ,81000.0
Նոր Նորք,Պանելային,2,65,2,Կոսմետիկ,83000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",4,125,6,Կապիտալ,270000.0
Աջափնյակ,Պանելային,3,80,10,Կոսմետիկ,82000.0
Էրեբունի,Քարե,2,70,4,Նորմալ վիճակ,72000.0
Նոր Նորք,Պանելային,4,75,5,Կապիտալ,88000.0
Դավթաշեն,Պանելային,2,55,9,Կապիտալ,85000.0
Նորք Մարաշ,Քարե,3,51,1,Կապիտալ,97000.0
Նոր Նորք,"Մոնոլիտ, Նորակառույց",3,87,5,Զրոյական վիճակ,103543.0
Նոր Նորք,"Մոնոլիտ, Նորակառույց",3,76,5,Զրոյական վիճակ,94391.0
Նոր Նորք,"Մոնոլիտ, Նորակառույց",2,48,5,Զրոյական վիճակ,63791.0
Ավան,"Մոնոլիտ, Նորակառույց",3,84,4,Զրոյական վիճակ,117785.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",1,44,12,Կապիտալ,71500.0
Շենգավիթ,Պանելային,4,108,9,Կապիտալ,144000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",2,72,10,Դիզայներական,200000.0
Մալաթիա Սեբաստիա,"Մոնոլիտ, Նորակառույց",2,66,2,Կապիտալ,138000.0
Ավան,Պանելային,2,67,9,Պետական վիճակ,73000.0
Քանաքեռ Զեյթուն,Պանելային,4,100,10,Կապիտալ,129000.0
Քանաքեռ Զեյթուն,Քարե,4,106,2,Կապիտալ,119000.0
Ավան,Պանելային,2,52,5,Դիզայներական,85000.0
Էրեբունի,Քարե,2,49,2,Դիզայներական,85000.0
Արաբկիր,Քարե,3,80,2,Դիզայներական,173000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",3,55,5,Դիզայներական,270000.0
Նորք Մարաշ,"Մոնոլիտ, Նորակառույց",2,33,3,Կապիտալ,120000.0
Մալաթիա Սեբաստիա,Պանելային,3,78,3,Պետական վիճակ,86000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",2,64,3,Դիզայներական,170000.0
Արաբկիր,Քարե,2,54,5,Նորմալ վիճակ,83500.0
Աջափնյակ,Քարե,1,40,2,Կապիտալ,83500.0
Շենգավիթ,Քարե,1,40,2,Պետական վիճակ,73000.0
Ավան,Քարե,3,73,1,Նորմալ վիճակ,93000.0
Շենգավիթ,Քարե,3,74,1,Պետական վիճակ,70000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",3,86,4,Զրոյական վիճակ,135000.0
Արաբկիր,Պանելային,2,46,4,Կապիտալ,122000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,101,10,Դիզայներական,270000.0
Արաբկիր,Քարե,4,92,3,Նորմալ վիճակ,163000.0
Կենտրոն,Պանելային,2,48,1,Կապիտալ,120000.0
Արաբկիր,Պանելային,2,75,5,Դիզայներական,155000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",2,48,8,Դիզայներական,126370.0
Արաբկիր,Քարե,3,66,5,Դիզայներական,135000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",2,56,3,Դիզայներական,118000.0
Ավան,Քարե,3,79,5,Կապիտալ,120000.0
Արաբկիր,Պանելային,2,32,6,Կոսմետիկ,75000.0
Աջափնյակ,Քարե,1,48,2,Պետական վիճակ,64000.0
Նոր Նորք,Պանելային,2,60,4,Նորմալ վիճակ,85000.0
Քանաքեռ Զեյթուն,Պանելային,1,33,5,Պետական վիճակ,52000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",2,56,8,Կապիտալ,140000.0
Աջափնյակ,Պանելային,2,64,2,Նորմալ վիճակ,76000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",2,56,8,Դիզայներական,140000.0
Աջափնյակ,Պանելային,4,120,3,Կապիտալ,110000.0
Կենտրոն,Այլ,2,80,10,Պետական վիճակ,205000.0
Կենտրոն,Պանելային,2,40,10,Կապիտալ,129000.0
Նոր Նորք,Քարե,3,76,5,Կոսմետիկ,80000.0
Ավան,Պանելային,3,77,8,Կապիտալ,88000.0
Աջափնյակ,Պանելային,3,83,16,Կապիտալ,110000.0
Կենտրոն,Քարե,3,80,4,Նորմալ վիճակ,199000.0
Արաբկիր,Պանելային,3,91,9,Կապիտալ,168000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",2,43,5,Կապիտալ,117000.0
Նոր Նորք,"Մոնոլիտ, Նորակառույց",4,107,5,Զրոյական վիճակ,126795.0
Դավթաշեն,Պանելային,3,93,2,Պետական վիճակ,124000.0
Արաբկիր,Քարե,2,50,5,Կապիտալ,110000.0
Էրեբունի,Պանելային,3,73,9,Կապիտալ,94000.0
