District,Building Type,Rooms,Area,Floor,Renovation,Price
Կենտրոն,Քարե,3,68,5,Նորմալ վիճակ,175000.0
Ավան,"Մոնոլիտ, Նորակառույց",2,47,11,Զրոյական վիճակ,60000.0
Նոր Նորք,Պանելային,2,67,1,Կապիտալ,80000.0
Կենտրոն,Պանելային,2,42,4,Կապիտալ,85000.0
Կենտրոն,Պանելային,3,101,12,Պետական վիճակ,255000.0
Դավթաշեն,Մոնոլիտ,3,63,2,Կապիտալ,135000.0
Դավթաշեն,Մոնոլիտ,3,75,11,Կապիտալ,109000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",2,46,2,Զրոյական վիճակ,105000.0
Աջափնյակ,Քարե,2,35,5,Դիզայներական,61000.0
Աջափնյակ,Պանելային,1,42,2,Պետական վիճակ,58000.0
Դավթաշեն,Պանելային,4,92,8,Նորմալ վիճակ,110000.0
Դավթաշեն,"Պանելային, Նորակառույց",3,82,5,Կապիտալ,105000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",2,65,4,Կապիտալ,270000.0
Շենգավիթ,Քարե,2,63,2,Կոսմետիկ,85000.0
Մալաթիա Սեբաստիա,Պանելային,2,47,4,Դիզայներական,85000.0
Արաբկիր,Քարե,2,48,2,Կապիտալ,98000.0
Դավթաշեն,Պանելային,2,67,2,Կապիտալ,97000.0
Կենտրոն,Պանելային,2,68,10,Պետական վիճակ,136000.0
Կենտրոն,Պանելային,2,73,9,Պետական վիճակ,160000.0
Կենտրոն,Պանելային,3,72,9,Կապիտալ,222000.0
Քանաքեռ Զեյթուն,Պանելային,2,50,4,Պետական վիճակ,75000.0
Նոր Նորք,Պանելային,2,54,3,Նորմալ վիճակ,75000.0
Արաբկիր,Քարե,2,68,4,Նորմալ վիճակ,125000.0
Նոր Նորք,Այլ,3,81,4,Պետական վիճակ,90000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",3,78,6,Զրոյական վիճակ,160000.0
Քանաքեռ Զեյթուն,Քարե,3,69,4,Կոսմետիկ,110000.0
Կենտրոն,Քարե,3,130,1,Կապիտալ,220000.0
Նոր Նորք,Պանելային,2,47,7,Կապիտալ,67000.0
Արաբկիր,Քարե,3,70,4,Դիզայներական,132000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",3,74,14,Կապիտալ,170000.0
Արաբկիր,Քարե,3,72,2,Դիզայներական,153000.0
Արաբկիր,Քարե,3,78,3,Դիզայներական,160000.0
Արաբկիր,Պանելային,3,76,6,Կապիտալ,139000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,78,3,Դիզայներական,185000.0
Նոր Նորք,"Մոնոլիտ, Նորակառույց",2,53,1,Զրոյական վիճակ,88000.0
Կենտրոն,Քարե,2,63,2,Պետական վիճակ,150000.0
Շենգավիթ,Քարե,3,75,1,Նորմալ վիճակ,112000.0
Նոր Նորք,"Մոնոլիտ, Նորակառույց",3,53,3,Կապիտալ,82000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",2,43,15,Կապիտալ,101000.0
Արաբկիր,Քարե,1,43,2,Կապիտալ,97000.0
Կենտրոն,Մոնոլիտ,2,80,2,Կապիտալ,136000.0
Արաբկիր,Քարե,3,57,2,Կոսմետիկ,110000.0
Արաբկիր,Քարե,2,57,2,Կոսմետիկ,103000.0
Քանաքեռ Զեյթուն,Մոնոլիտ,2,66,7,Դիզայներական,175000.0
Արաբկիր,Քարե,2,67,3,Նորմալ վիճակ,150000.0
Արաբկիր,Քարե,3,63,3,Կապիտալ,155000.0
Կենտրոն,Պանելային,3,81,6,Կապիտալ,158000.0
Քանաքեռ Զեյթուն,Քարե,3,80,5,Կապիտալ,97000.0
Արաբկիր,Քարե,3,70,2,Կապիտալ,148000.0
Շենգավիթ,Քարե,1,45,3,Նորմալ վիճակ,67000.0
Նոր Նորք,Պանելային,2,38,1,Նորմալ վիճակ,60000.0
Կենտրոն,Քարե,2,57,3,Կապիտալ,240000.0
Քանաքեռ Զեյթուն,Մոնոլիտ,2,54,2,Կապիտալ,140000.0
Քանաքեռ Զեյթուն,Պանելային,2,73,9,Դիզայներական,125000.0
