Տարածաշրջան,Շինության տիպ,Սենյակներ,Մակերես,Հարկ,Վերանորոգում,Գինը
"Երևան, Արաբկիր",Քարե,4,95 ,3,Պետական վիճակ,$140000
"Երևան, Կենտրոն",Պանելային,3,98 ,8,Կապիտալ,$163500
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",1,43 ,2,Նորմալ վիճակ,$78000
"Երևան, Արաբկիր",Քարե,2,57 ,3,Կոսմետիկ,$105000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",3,75 ,11,Կապիտալ,$109000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,96 ,7,Զրոյական վիճակ,$180529
"Երևան, Դավթաշեն",Պանելային,3,82 ,5,Կապիտալ,$105000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",3,74 ,14,Դիզայներական,$175000
"Երևան, Դավթաշեն",Պանելային,3,85 ,5,Կապիտալ,$105000
"Երևան, Շենգավիթ",Պանելային,3,72 ,3,Կապիտալ,$90000
"Երևան, Դավթաշեն",Պանելային,3,65 ,6,Կապիտալ,$106000
"Երևան, Արաբկիր",Պանելային,2,64 ,7,Նորմալ վիճակ,$105000
"Երևան, Կենտրոն",Պանելային,2,40 ,8,Կոսմետիկ,$76000
"Երևան, Արաբկիր",Քարե,4,100 ,3,Նորմալ վիճակ,$140000
"Երևան, Արաբկիր",Քարե,3,120 ,6,Կապիտալ,$320000
"Երևան, Աջափնյակ",Քարե,3,62 ,2,Կապիտալ,$230000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,97 ,2,Դիզայներական,պայմ.
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,80 ,5,Դիզայներական,$179000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",4,125 ,9,Կապիտալ,$235000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",3,65 ,6,Դիզայներական,$146000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,3,100 ,10,Նորմալ վիճակ,$125000
"Երևան, Կենտրոն",Քարե,2,51 ,6,Կապիտալ,$153000
"Երևան, Աջափնյակ",Պանելային,3,86 ,8,Կոսմետիկ,$94000
"Երևան, Աջափնյակ",Պանելային,4,85 ,3,Կապիտալ,$92000
"Երևան, Կենտրոն",Քարե,3,51 ,6,Դիզայներական,$153000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,56 ,13,Կապիտալ,$139000
"Երևան, Էրեբունի",Քարե,5,100 ,1,Դիզայներական,$140000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",3,63 ,2,Կապիտալ,$135000
"Երևան, Մալաթիա Սեբաստիա",Քարե,2,45 ,3,Կապիտալ,$80000
"Երևան, Մալաթիա Սեբաստիա",Մոնոլիտ,3,83 ,7,Կապիտալ,$133000
"Երևան, Արաբկիր",Քարե,2,50 ,5,Դիզայներական,$100000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,2,50 ,1,Կապիտալ,$78000
"Երևան, Արաբկիր",Քարե,3,90 ,4,Դիզայներական,$255000
"Երևան, Աջափնյակ",Պանելային,2,60 ,13,Նորմալ վիճակ,$71500
"Երևան, Կենտրոն",Քարե,3,76 ,1,Կապիտալ,$120000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,2,51 ,2,Կապիտալ,$70000
"Երևան, Նոր Նորք",Պանելային,2,78 ,5,Կապիտալ,$80000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,1,32 ,2,Նորմալ վիճակ,$48000
"Երևան, Շենգավիթ",Քարե,3,57 ,3,Նորմալ վիճակ,$87000
"Երևան, Էրեբունի",Պանելային,4,88 ,3,Նորմալ վիճակ,$87000
"Երևան, Էրեբունի",Պանելային,3,79 ,5,Նորմալ վիճակ,$82000
"Երևան, Շենգավիթ",Քարե,2,57 ,2,Պետական վիճակ,$37000
"Երևան, Արաբկիր",Քարե,3,99 ,4,Կապիտալ,$155000
"Երևան, Աջափնյակ",Պանելային,2,62 ,15,Կապիտալ,$87000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,120 ,6,Դիզայներական,$320000
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",3,68 ,4,Զրոյական վիճակ,$1650
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",2,70 ,8,Զրոյական վիճակ,$95000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,61 ,5,Դիզայներական,$177000
"Արմավիր, Էջմիածին քաղաք",Քարե,2,38 ,4,Կապիտալ,$55000
"Երևան, Նոր Նորք",Քարե,3,65 ,3,Կապիտալ,$105000
"Երևան, Կենտրոն",Քարե,2,65 ,3,Դիզայներական,$240000
"Երևան, Դավթաշեն",Պանելային,3,78 ,13,Կապիտալ,$120000
"Երևան, Կենտրոն",Պանելային,2,69 ,7,Կապիտալ,$185000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,70 ,2,Պետական վիճակ,$82000
"Երևան, Արաբկիր",Պանելային,2,43 ,6,Նորմալ վիճակ,$95000
"Երևան, Կենտրոն",Պանելային,2,40 ,8,Նորմալ վիճակ,$80000
"Երևան, Արաբկիր",Պանելային,2,75 ,12,Նորմալ վիճակ,$120000
"Երևան, Արաբկիր",Քարե,3,85 ,4,Կապիտալ,$165000
"Երևան, Կենտրոն",Քարե,2,40 ,2,Կապիտալ,$155000
"Արմավիր, Արմավիր",Պանելային,2,65 ,4,Դիզայներական,$55000
"Երևան, Շենգավիթ",Քարե,2,45 ,4,Կապիտալ,$117000
"Երևան, Արաբկիր",Պանելային,2,49 ,4,Կապիտալ,$93000
"Երևան, Նոր Նորք","Մոնոլիտ, Նորակառույց",3,75 ,3,Դիզայներական,$144000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",3,74 ,18,Դիզայներական,$190000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",2,61 ,4,Կոսմետիկ,$87000
"Երևան, Աջափնյակ",Պանելային,3,83 ,2,Կոսմետիկ,$96000
"Երևան, Արաբկիր",Քարե,3,70 ,4,Կապիտալ,$132000
"Երևան, Դավթաշեն",Պանելային,4,94 ,9,Կապիտալ,$135000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,55 ,14,Կապիտալ,$320000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,83 ,2,Կապիտալ,$175000
"Երևան, Կենտրոն",Քարե,1,36 ,3,Դիզայներական,$125000
"Երևան, Արաբկիր",Պանելային,3,94 ,7,Նորմալ վիճակ,$142000
"Երևան, Նոր Նորք",Քարե,3,78 ,4,Կոսմետիկ,$102000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,90 ,4,Դիզայներական,$340000
"Երևան, Արաբկիր",Քարե,2,73 ,2,Պետական վիճակ,$172000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,61 ,2,Զրոյական վիճակ,$116000
"Երևան, Արաբկիր",Քարե,3,82 ,4,Նորմալ վիճակ,$155000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",4,96 ,12,Կապիտալ,$286000
"Երևան, Կենտրոն",Մոնոլիտ,3,121 ,13,Դիզայներական,$380000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,2,67 ,5,Պետական վիճակ,$95000
"Երևան, Աջափնյակ",Պանելային,4,91 ,13,Պետական վիճակ,$90000
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",3,100 ,16,Դիզայներական,$259000
"Երևան, Կենտրոն",Քարե,3,70 ,3,Դիզայներական,$286000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",2,74 ,18,Զրոյական վիճակ,$130000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",1,41 ,2,Կապիտալ,$78000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",4,135 ,8,Կապիտալ,$750000
"Երևան, Նոր Նորք",Պանելային,1,34 ,3,Դիզայներական,$63000
"Երևան, Կենտրոն",Քարե,3,93 ,3,Կապիտալ,$309000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",2,45 ,4,Դիզայներական,$120000
"Երևան, Աջափնյակ",Պանելային,2,58 ,1,Պետական վիճակ,$90000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,83 ,10,Զրոյական վիճակ,$230000
"Երևան, Արաբկիր",Պանելային,3,75 ,12,Նորմալ վիճակ,$120000
"Երևան, Կենտրոն",Պանելային,2,74 ,2,Պետական վիճակ,$194000
"Երևան, Կենտրոն",Պանելային,2,61 ,6,Դիզայներական,$175000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",4,96 ,3,Դիզայներական,$240000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,55 ,12,Դիզայներական,$184000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,110 ,9,Դիզայներական,պայմ.
"Երևան, Շենգավիթ",Պանելային,2,54 ,1,Կապիտալ,$75000
"Երևան, Կենտրոն",Պանելային,3,80 ,7,Կոսմետիկ,$205000
"Երևան, Շենգավիթ",Քարե,2,43 ,1,Կապիտալ,$64000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,62 ,2,Դիզայներական,$190000
"Երևան, Շենգավիթ",Քարե,2,57 ,4,Պետական վիճակ,$64000
"Երևան, Ավան","Մոնոլիտ, Նորակառույց",2,51 ,2,Կապիտալ,$85000
"Երևան, Կենտրոն",Քարե,3,81 ,3,Դիզայներական,$270000
"Երևան, Մալաթիա Սեբաստիա",Քարե,3,57 ,3,Կապիտալ,$93000
"Երևան, Արաբկիր",Քարե,2,70 ,2,Նորմալ վիճակ,$155000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",4,96 ,3,Կապիտալ,$245000
"Երևան, Աջափնյակ",Քարե,2,60 ,4,Կապիտալ,$85000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",2,64 ,16,Դիզայներական,$185000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,78 ,6,Զրոյական վիճակ,$160000
"Երևան, Արաբկիր",Քարե,2,73 ,4,Նորմալ վիճակ,$135000
"Երևան, Աջափնյակ",Պանելային,3,57 ,3,Կապիտալ,$85000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",2,52 ,15,Զրոյական վիճակ,$95000
"Երևան, Կենտրոն",Քարե,3,70 ,2,Դիզայներական,$300000
"Երևան, Կենտրոն",Այլ,5,500 ,1,Կոսմետիկ,$420000
"Երևան, Արաբկիր",Քարե,2,54 ,2,Նորմալ վիճակ,$102000
"Երևան, Շենգավիթ",Պանելային,1,40 ,5,Կապիտալ,$70000
"Երևան, Շենգավիթ",Քարե,2,45 ,5,Կապիտալ,$75000
"Երևան, Արաբկիր",Քարե,3,110 ,3,Դիզայներական,$250000
"Երևան, Մալաթիա Սեբաստիա",Մոնոլիտ,3,101 ,16,Կապիտալ,$190000
"Երևան, Նոր Նորք",Պանելային,4,71 ,12,Կապիտալ,$80000
"Շիրակ, Գյումրի",Քարե,1,42 ,1,Կոսմետիկ,$45000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,2,51 ,5,Կոսմետիկ,$76000
"Երևան, Արաբկիր",Պանելային,4,129 ,13,Կապիտալ,$170000
"Երևան, Մալաթիա Սեբաստիա",Քարե,5,115 ,1,Կապիտալ,$125000
"Երևան, Ավան",Պանելային,3,80 ,6,Կապիտալ,$95000
"Երևան, Շենգավիթ",Մոնոլիտ,2,56 ,2,Կապիտալ,$90000
"Երևան, Արաբկիր",Քարե,2,50 ,5,Կապիտալ,$98000
"Երևան, Արաբկիր",Քարե,2,45 ,5,Դիզայներական,պայմ.
"Երևան, Կենտրոն",Քարե,3,69 ,2,Դիզայներական,$195000
"Երևան, Արաբկիր",Քարե,2,64 ,2,Կոսմետիկ,$110000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",2,47 ,10,Դիզայներական,$83500
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,125 ,4,Կապիտալ,$425000
"Երևան, Կենտրոն",Պանելային,2,70 ,3,Դիզայներական,$230000
"Երևան, Կենտրոն",Պանելային,2,60 ,9,Նորմալ վիճակ,$94000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,94 ,10,Կապիտալ,$257000
"Երևան, Արաբկիր",Քարե,3,96 ,2,Դիզայներական,պայմ.
"Երևան, Արաբկիր",Քարե,2,88 ,5,Նորմալ վիճակ,$160000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",2,45 ,4,Կապիտալ,$120000
"Երևան, Արաբկիր",Քարե,2,35 ,2,Դիզայներական,$125000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,120 ,4,Դիզայներական,$395000
"Երևան, Նոր Նորք",Քարե,3,75 ,4,Պետական վիճակ,$90000
"Երևան, Նոր Նորք",Կասետային,1,37 ,2,Նորմալ վիճակ,$65500
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,80 ,2,Կապիտալ,$125000
"Երևան, Նոր Նորք","Մոնոլիտ, Նորակառույց",2,54 ,3,Կապիտալ,$90000
"Երևան, Կենտրոն",Պանելային,2,49 ,13,Կապիտալ,$84000
"Երևան, Արաբկիր",Մոնոլիտ,2,60 ,2,Դիզայներական,$148000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,62 ,2,Կապիտալ,$190000
"Երևան, Արաբկիր",Քարե,3,67 ,1,Դիզայներական,$125000
"Երևան, Ավան",Պանելային,2,62 ,9,Կոսմետիկ,$85000
"Երևան, Կենտրոն",Մոնոլիտ,3,80 ,7,Նորմալ վիճակ,$205000
"Երևան, Ավան",Քարե,1,41 ,3,Կոսմետիկ,$63000
"Երևան, Շենգավիթ",Քարե,2,40 ,2,Կոսմետիկ,$40000
"Երևան, Կենտրոն",Քարե,4,115 ,2,Կապիտալ,$380000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",4,134 ,18,Դիզայներական,$430000
"Երևան, Արաբկիր",Քարե,3,74 ,5,Նորմալ վիճակ,$180000
"Երևան, Արաբկիր",Քարե,1,44 ,5,Պետական վիճակ,$95000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,59 ,4,Դիզայներական,$155000
"Երևան, Արաբկիր",Քարե,3,74 ,5,Կապիտալ,$180000
"Երևան, Կենտրոն",Պանելային,2,73 ,9,Կապիտալ,$222000
"Երևան, Ավան","Մոնոլիտ, Նորակառույց",2,33 ,1,Դիզայներական,$61000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",4,130 ,13,Կապիտալ,$298000
"Երևան, Աջափնյակ",Պանելային,3,79 ,15,Կապիտալ,$110000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,80 ,1,Կապիտալ,$92843
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",3,115 ,5,Դիզայներական,$220000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",2,58 ,7,Կապիտալ,$97000
"Երևան, Արաբկիր",Քարե,4,120 ,1,Կապիտալ,$280000
"Կոտայք, Abovyan",Քարե,3,78 ,2,Կապիտալ,$76000
"Երևան, Կենտրոն",Պանելային,2,43 ,9,Կապիտալ,$75000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,85 ,2,Դիզայներական,$211000
"Երևան, Արաբկիր",Պանելային,3,89 ,6,Դիզայներական,պայմ.
"Երևան, Արաբկիր",Մոնոլիտ,3,88 ,2,Դիզայներական,$185000
"Երևան, Նոր Նորք",Պանելային,2,35 ,3,Կապիտալ,$63000
"Երևան, Կենտրոն",Պանելային,2,67 ,6,Կապիտալ,$125000
"Երևան, Կենտրոն",Պանելային,3,80 ,8,Դիզայներական,$185000
"Երևան, Կենտրոն",Քարե,3,100 ,5,Կապիտալ,$306000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,138 ,3,Դիզայներական,$410000
"Երևան, Կենտրոն",Քարե,1,31 ,3,Կապիտալ,$110000
"Երևան, Աջափնյակ",Քարե,4,70 ,2,Կոսմետիկ,$92000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",2,83 ,3,Կապիտալ,$160000
"Երևան, Դավթաշեն","Պանելային, Նորակառույց",3,74 ,18,Կապիտալ,$190000
"Երևան, Նոր Նորք",Պանելային,2,71 ,2,Կապիտալ,$75000
"Երևան, Նոր Նորք",Պանելային,2,54 ,4,Կապիտալ,$75000
"Երևան, Աջափնյակ","Պանելային, Նորակառույց",3,70 ,12,Կապիտալ,$90000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,2,50 ,6,Կապիտալ,$73000
"Երևան, Արաբկիր",Քարե,1,43 ,4,Կոսմետիկ,$80000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,2,70 ,3,Նորմալ վիճակ,$80000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,60 ,2,Կապիտալ,$148000
"Երևան, Արաբկիր",Պանելային,3,82 ,3,Կապիտալ,$170000
"Երևան, Արաբկիր",Քարե,2,48 ,7,Նորմալ վիճակ,$109000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",2,64 ,1,Կապիտալ,$97000
"Երևան, Արաբկիր",Քարե,3,78 ,7,Դիզայներական,$142000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",4,133 ,9,Դիզայներական,$375000
"Երևան, Աջափնյակ",Պանելային,3,64 ,3,Կապիտալ,$92000
"Երևան, Կենտրոն",Պանելային,1,43 ,3,Պետական վիճակ,$81000
"Երևան, Նոր Նորք",Պանելային,2,65 ,2,Կոսմետիկ,$83000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,105 ,13,Դիզայներական,$279000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",4,125 ,6,Կապիտալ,$270000
"Երևան, Աջափնյակ",Պանելային,3,80 ,10,Կոսմետիկ,$82000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,102 ,20,Դիզայներական,$500000
"Երևան, Էրեբունի",Քարե,2,70 ,4,Նորմալ վիճակ,$72000
"Երևան, Նոր Նորք",Պանելային,4,75 ,5,Կապիտալ,$88000
"Երևան, Դավթաշեն",Պանելային,2,55 ,9,Կապիտալ,$85000
"Երևան, Նորք Մարաշ",Քարե,3,51 ,1,Կապիտալ,$97000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,42 ,11,Կապիտալ,$330000
"Երևան, Նոր Նորք","Մոնոլիտ, Նորակառույց",3,87 ,5,Զրոյական վիճակ,$103543
"Երևան, Նոր Նորք","Մոնոլիտ, Նորակառույց",3,76 ,5,Զրոյական վիճակ,$94391
"Երևան, Նոր Նորք","Մոնոլիտ, Նորակառույց",2,48 ,5,Զրոյական վիճակ,$63791
"Երևան, Ավան","Մոնոլիտ, Նորակառույց",3,84 ,4,Զրոյական վիճակ,$117785
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",1,44 ,12,Կապիտալ,$71500
"Երևան, Կենտրոն",Քարե,4,330 ,4,Դիզայներական,$550000
"Երևան, Շենգավիթ",Պանելային,4,108 ,9,Կապիտալ,$144000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",2,72 ,10,Դիզայներական,$200000
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",2,66 ,2,Կապիտալ,$138000
"Երևան, Ավան",Պանելային,2,67 ,9,Պետական վիճակ,$73000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,4,100 ,10,Կապիտալ,$129000
"Երևան, Քանաքեռ Զեյթուն",Քարե,4,106 ,2,Կապիտալ,$119000
"Երևան, Ավան",Պանելային,2,52 ,5,Դիզայներական,$85000
"Երևան, Էրեբունի",Քարե,2,49 ,2,Դիզայներական,$85000
"Երևան, Արաբկիր",Քարե,3,80 ,2,Դիզայներական,$173000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,55 ,5,Դիզայներական,$270000
"Երևան, Նորք Մարաշ","Մոնոլիտ, Նորակառույց",2,33 ,3,Կապիտալ,$120000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,78 ,3,Պետական վիճակ,$86000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",2,64 ,3,Դիզայներական,$170000
"Երևան, Արաբկիր",Քարե,2,54 ,5,Նորմալ վիճակ,$83500
"Երևան, Աջափնյակ",Քարե,1,40 ,2,Կապիտալ,$83500
"Երևան, Շենգավիթ",Քարե,1,40 ,2,Պետական վիճակ,$73000
"Երևան, Ավան",Քարե,3,73 ,1,Նորմալ վիճակ,$93000
"Երևան, Շենգավիթ",Քարե,3,74 ,1,Պետական վիճակ,$70000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",3,86 ,4,Զրոյական վիճակ,$135000
"Երևան, Արաբկիր",Պանելային,2,46 ,4,Կապիտալ,$122000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,101 ,10,Դիզայներական,$270000
"Երևան, Արաբկիր",Քարե,4,92 ,3,Նորմալ վիճակ,$163000
"Երևան, Կենտրոն",Պանելային,2,48 ,1,Կապիտալ,$120000
"Երևան, Արաբկիր",Պանելային,2,75 ,5,Դիզայներական,$155000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",2,48 ,8,Դիզայներական,$126370
"Երևան, Արաբկիր",Քարե,3,66 ,5,Դիզայներական,$135000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",2,56 ,3,Դիզայներական,$118000
"Երևան, Ավան",Քարե,3,79 ,5,Կապիտալ,$120000
"Երևան, Արաբկիր",Պանելային,2,32 ,6,Կոսմետիկ,$75000
"Երևան, Աջափնյակ",Քարե,1,48 ,2,Պետական վիճակ,$64000
"Երևան, Նոր Նորք",Պանելային,2,60 ,4,Նորմալ վիճակ,$85000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,1,33 ,5,Պետական վիճակ,$52000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",2,56 ,8,Կապիտալ,$140000
"Երևան, Աջափնյակ",Պանելային,2,64 ,2,Նորմալ վիճակ,$76000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",2,56 ,8,Դիզայներական,$140000
"Երևան, Աջափնյակ",Պանելային,4,120 ,3,Կապիտալ,$110000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,150 ,5,Կապիտալ,$340000
"Երևան, Կենտրոն",Այլ,2,80 ,10,Պետական վիճակ,$205000
"Երևան, Կենտրոն",Պանելային,2,40 ,10,Կապիտալ,$129000
"Երևան, Նոր Նորք",Քարե,3,76 ,5,Կոսմետիկ,$80000
"Երևան, Ավան",Պանելային,3,77 ,8,Կապիտալ,$88000
"Երևան, Աջափնյակ",Պանելային,3,83 ,16,Կապիտալ,$110000
"Երևան, Կենտրոն",Քարե,3,80 ,4,Նորմալ վիճակ,$199000
"Երևան, Արաբկիր",Պանելային,3,91 ,9,Կապիտալ,$168000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,43 ,5,Կապիտալ,$117000
"Երևան, Նոր Նորք","Մոնոլիտ, Նորակառույց",4,107 ,5,Զրոյական վիճակ,$126795
"Երևան, Դավթաշեն",Պանելային,3,93 ,2,Պետական վիճակ,$124000
"Երևան, Արաբկիր",Քարե,2,50 ,5,Կապիտալ,$110000
"Երևան, Էրեբունի",Պանելային,3,73 ,9,Կապիտալ,$94000
"Երևան, Աջափնյակ",Պանելային,2,65 ,9,Նորմալ վիճակ,$80000
"Երևան, Արաբկիր",Պանելային,2,80 ,7,Պետական վիճակ,$120000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",4,204 ,7,Դիզայներական,$725000
"Երևան, Դավթաշեն",Պանելային,3,79 ,7,Դիզայներական,$153000
"Կոտայք, Բյուրեղավան",Քարե,4,93 ,5,Պետական վիճակ,$53000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,82 ,7,Նորմալ վիճակ,$90000
"Երևան, Արաբկիր",Քարե,2,45 ,5,Դիզայներական,$98000
"Երևան, Շենգավիթ","Մոնոլիտ, Նորակառույց",2,60 ,6,Զրոյական վիճակ,$132000
"Երևան, Էրեբունի",Քարե,2,42 ,2,Դիզայներական,$75000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",2,64 ,3,Կապիտալ,$170000
"Երևան, Արաբկիր",Պանելային,3,61 ,6,Պետական վիճակ,$95000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",2,74 ,12,Դիզայներական,$155000
"Երևան, Արաբկիր",Պանելային,3,61 ,6,Դիզայներական,$95000
"Երևան, Նոր Նորք","Մոնոլիտ, Նորակառույց",3,75 ,3,Կապիտալ,$144000
"Երևան, Կենտրոն",Քարե,3,75 ,4,Նորմալ վիճակ,$220000
"Երևան, Կենտրոն",Քարե,3,109 ,4,Նորմալ վիճակ,$240000
"Կոտայք, Ջրվեժ գյուղ",Պանելային,3,76 ,1,Կապիտալ,$80000
"Երևան, Արաբկիր",Քարե,2,35 ,3,Կապիտալ,$130000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",4,167 ,14,Դիզայներական,$450000
"Երևան, Արաբկիր",Քարե,2,37 ,3,Կապիտալ,$110000
"Երևան, Նոր Նորք",Պանելային,3,80 ,6,Կապիտալ,$85000
"Երևան, Արաբկիր",Պանելային,2,61 ,6,Նորմալ վիճակ,$95000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",2,50 ,11,Զրոյական վիճակ,$90000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,80 ,14,Դիզայներական,$219000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,68 ,15,Դիզայներական,$180000
"Արմավիր, Էջմիածին քաղաք",Քարե,3,87 ,4,Կապիտալ,$66000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,78 ,3,Կոսմետիկ,$85000
"Երևան, Արաբկիր",Պանելային,2,72 ,2,Կապիտալ,$123000
"Երևան, Արաբկիր",Քարե,3,65 ,2,Դիզայներական,$143000
"Երևան, Արաբկիր",Քարե,3,72 ,1,Կապիտալ,$155000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,61 ,14,Դիզայներական,$194000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",4,168 ,2,Կապիտալ,$250000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",4,168 ,2,Դիզայներական,$250000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,62 ,6,Կապիտալ,$186000
"Երևան, Կենտրոն",Պանելային,3,68 ,7,Կապիտալ,$400000
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",2,70 ,9,Դիզայներական,$150000
"Երևան, Կենտրոն",Քարե,1,27 ,2,Պետական վիճակ,$90000
"Երևան, Արաբկիր",Քարե,1,48 ,2,Նորմալ վիճակ,$79500
"Երևան, Շենգավիթ","Մոնոլիտ, Նորակառույց",2,44 ,10,Կապիտալ,$91000
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",2,59 ,8,Զրոյական վիճակ,$105000
"Երևան, Էրեբունի",Քարե,2,60 ,5,Կոսմետիկ,$89000
"Երևան, Արաբկիր",Քարե,3,83 ,2,Նորմալ վիճակ,$177000
"Երևան, Աջափնյակ",Քարե,1,30 ,2,Նորմալ վիճակ,$61000
