Տարածաշրջան,Շինության տիպ,Սենյակներ,Մակերես,Հարկ,Վերանորոգում,Գինը
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",1,46,1,Կապիտալ,$67000
"Երևան, Դավթաշեն",Պանելային,2,54,4,Նորմալ վիճակ,$77000
"Երևան, Նոր Նորք",Պանելային,2,50,2,Նորմալ վիճակ,$64000
"Երևան, Կենտրոն",Պանելային,3,80,16,Պետական վիճակ,$155000
"Երևան, Կենտրոն",Պանելային,4,105,11,Կապիտալ,$260000
"Երևան, Արաբկիր",Քարե,2,42,2,Կապիտալ,$90000
"Երևան, Նոր Նորք",Քարե,2,58,1,Նորմալ վիճակ,$73000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,90,3,Կոսմետիկ,$90000
"Երևան, Դավթաշեն",Պանելային,2,52,14,Կապիտալ,$68000
"Երևան, Արաբկիր",Քարե,2,54,5,Կապիտալ,$95000
"Երևան, Ավան","Մոնոլիտ, Նորակառույց",2,56,13,Զրոյական վիճակ,$74414
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",2,52,7,Զրոյական վիճակ,$64372
"Երևան, Արաբկիր",Քարե,2,57,4,Պետական վիճակ,$91000
"Երևան, Արաբկիր",Պանելային,2,45,3,Նորմալ վիճակ,$75000
"Երևան, Քանաքեռ Զեյթուն",Կասետային,2,50,2,Կապիտալ,$75000
"Երևան, Շենգավիթ",Պանելային,1,25,6,Կապիտալ,$32000
"Երևան, Կենտրոն",Քարե,3,68,5,Նորմալ վիճակ,$175000
"Երևան, Ավան","Մոնոլիտ, Նորակառույց",2,47,11,Զրոյական վիճակ,$60000
"Երևան, Նոր Նորք",Պանելային,2,67,1,Կապիտալ,$80000
"Երևան, Կենտրոն",Պանելային,2,42,4,Կապիտալ,$85000
"Երևան, Կենտրոն",Պանելային,3,101,12,Պետական վիճակ,$255000
"Երևան, Դավթաշեն",Մոնոլիտ,3,63,2,Կապիտալ,$135000
"Երևան, Դավթաշեն",Մոնոլիտ,3,75,11,Կապիտալ,$109000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,46,2,Զրոյական վիճակ,$105000
"Երևան, Աջափնյակ",Քարե,2,35,5,Դիզայներական,$61000
"Երևան, Աջափնյակ",Պանելային,1,42,2,Պետական վիճակ,$58000
"Երևան, Դավթաշեն",Պանելային,4,92,8,Նորմալ վիճակ,$110000
"Երևան, Դավթաշեն","Պանելային, Նորակառույց",3,82,5,Կապիտալ,$105000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,65,4,Կապիտալ,$270000
"Երևան, Շենգավիթ",Քարե,2,63,2,Կոսմետիկ,$85000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,2,47,4,Դիզայներական,$85000
"Երևան, Արաբկիր",Քարե,2,48,2,Կապիտալ,$98000
"Երևան, Դավթաշեն",Պանելային,2,67,2,Կապիտալ,$97000
"Երևան, Կենտրոն",Պանելային,2,68,10,Պետական վիճակ,$136000
"Երևան, Կենտրոն",Պանելային,2,73,9,Պետական վիճակ,$160000
"Երևան, Կենտրոն",Պանելային,3,72,9,Կապիտալ,$222000
"Լոռի, Վանաձոր","Քարե, Նորակառույց",4,100,3,Պետական վիճակ,պայմ.
"Երևան, Քանաքեռ Զեյթուն",Պանելային,2,50,4,Պետական վիճակ,$75000
"Երևան, Նոր Նորք",Պանելային,2,54,3,Նորմալ վիճակ,$75000
"Երևան, Արաբկիր",Քարե,2,68,4,Նորմալ վիճակ,$125000
"Երևան, Նոր Նորք",Այլ,3,81,4,Պետական վիճակ,$90000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,78,6,Զրոյական վիճակ,$160000
"Երևան, Քանաքեռ Զեյթուն",Քարե,3,69,4,Կոսմետիկ,$110000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,88,4,Դիզայներական,$308000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",4,135,2,Դիզայներական,$420000
"Երևան, Կենտրոն",Քարե,3,130,1,Կապիտալ,$220000
"Երևան, Նոր Նորք",Պանելային,2,47,7,Կապիտալ,$67000
"Երևան, Արաբկիր",Քարե,3,70,4,Դիզայներական,$132000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,116,3,Դիզայներական,$430000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",3,74,14,Կապիտալ,$170000
"Երևան, Արաբկիր",Քարե,3,72,2,Դիզայներական,$153000
"Երևան, Արաբկիր",Քարե,3,78,3,Դիզայներական,$160000
"Երևան, Արաբկիր",Պանելային,3,76,6,Կապիտալ,$139000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,78,3,Դիզայներական,$185000
"Երևան, Նոր Նորք","Մոնոլիտ, Նորակառույց",2,53,1,Զրոյական վիճակ,$88000
"Երևան, Կենտրոն",Քարե,2,63,2,Պետական վիճակ,$150000
"Երևան, Շենգավիթ",Քարե,3,75,1,Նորմալ վիճակ,$112000
"Երևան, Նոր Նորք","Մոնոլիտ, Նորակառույց",3,53,3,Կապիտալ,$82000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,43,15,Կապիտալ,$101000
"Երևան, Արաբկիր",Քարե,1,43,2,Կապիտալ,$97000
"Երևան, Կենտրոն",Մոնոլիտ,2,80,2,Կապիտալ,$136000
"Երևան, Արաբկիր",Քարե,3,57,2,Կոսմետիկ,$110000
"Երևան, Կենտրոն",Մոնոլիտ,5,138,7,Կապիտալ,$320000
"Երևան, Արաբկիր",Քարե,2,57,2,Կոսմետիկ,$103000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",5,142,13,Դիզայներական,$400000
